product_name,url,descripcion,country,precio_total,precio_por_cantidad,weight_volume_clean,weight_unit,categorias,alergenos,marcas,tiendas,certificaciones,numero_raciones,nombre_operador,energia_kcal,energia_kj,grasas_totales,grasas_saturadas,carbohidratos,azucares,proteinas,sal,fibra
PRODUCTO ALCAMPO Tableta de chocolate negro con almendras enteras 200 g.,https://www.compraonline.alcampo.es/products/producto-alcampo-tableta-de-chocolate-negro-con-almendras-enteras-200-g/898719,Chocolate negro con almendras enteras,,2.54,12.7,200.0,g,,,,Alcampo,,,Alcampo S.A,564.0,2346.0,38.0,17.0,41.0,34.0,11.0,0.03,
LA GULA DEL NORTE Sucedáneo de angulas LA GULA DEL NORTE pack 2 uds. x 210 g.,https://www.compraonline.alcampo.es/products/la-gula-del-norte-suced%C3%A1neo-de-angulas-la-gula-del-norte-pack-2-uds-x-210-g/742513,Producto de la pesca transformado refrigerado,,7.99,19.02,420.0,g,,,,Alcampo,,2.0,Angulas Aguinaga,163.0,678.0,10.0,1.0,8.2,1.8,9.2,2.2,
"AUCHAN Leche de vaca entera 1,5 l Producto Alcampo.",https://www.compraonline.alcampo.es/products/auchan-leche-de-vaca-entera-1-5-l-producto-alcampo/216825,LECHE ENTERA ESTERILIZADA,España,1.54,1.03,1500.0,ml,,,,Alcampo,,6.0,"Alcampo, S.A.",63.0,264.0,3.6,2.5,4.7,4.7,3.0,0.1,
MAGGI Fusian Pasta oriental (noodles) con sabor a pollo 71 g.,https://www.compraonline.alcampo.es/products/maggi-fusian-pasta-oriental-noodles-con-sabor-a-pollo-71-g/11762,Noodles de trigo con condimento sabor a pollo,Ucrania,0.9,12.5,72.0,g,,,,Alcampo,,1.0,"NESTLÉ ESPAÑA, S.A.",118.0,497.0,4.4,0.3,16.8,0.7,2.8,0.81,
ALCAMPO GOURMET Raviolis de pasta fresca al huevo rellenos de queso DOP Gorogonzola ALCAMPO GOURMET 250 g.,https://www.compraonline.alcampo.es/products/alcampo-gourmet-raviolis-de-pasta-fresca-al-huevo-rellenos-de-queso-dop-gorogonzola-alcampo-gourmet-250-g/425453,Pasta alimenticia fresca al huevo rellena de queso Gorgonzola DOP.,Italia,2.34,9.36,250.0,g,,,,Alcampo,,2.0,Alcampo S.A. Dpto. de Calidad.,260.0,1092.0,8.7,3.0,35.0,3.3,8.9,0.71,
DE CECCO Penne rigate 500 g.,https://www.compraonline.alcampo.es/products/de-cecco-penne-rigate-500-g/784940,PENNE RIGATE Nº 41,,2.33,4.66,500.0,g,,,,Alcampo,,,"COMERCIAL CBG, S.A.",352.0,1493.0,1.5,0.3,70.2,3.4,13.0,0.01,
CUCA Atún claro en aceite de oliva pack 6 uds.x 48 g.,https://www.compraonline.alcampo.es/products/cuca-at%C3%BAn-claro-en-aceite-de-oliva-pack-6-uds-x-48-g/62436,Atún claro en aceite de oliva,España,12.25,42.53,288.0,g,,,,Alcampo,,,"Bolton Cile España, S.A.",377.0,1561.0,33.0,4.7,0.0,0.0,20.0,0.9,
"FREE DAMM Cerveza (0,0% alcohol) con sabor a limón lata de 33 cl.",https://www.compraonline.alcampo.es/products/free-damm-cerveza-0-0-alcohol-con-sabor-a-lim%C3%B3n-lata-de-33-cl/36399,Cerveza  Sin Alcohol Con Sabor a Limón,España,0.7,2.12,330.0,ml,,,,Alcampo,,,S.A. DAMM,17.0,73.0,0.0,0.0,3.8,1.6,0.1,0.01,
VICI Gyozas precocinadas y congeladas rellenas de pollo 400 g.,https://www.compraonline.alcampo.es/products/vici-gyozas-precocinadas-y-congeladas-rellenas-de-pollo-400-g/748540,"Gyozas, empanadillas japonesas con pollo, masa rellena congelada, precocinado.",,3.29,8.23,400.0,g,,,,Alcampo,,,Proveedor: VG Iberia S.L.U.,177.0,746.0,4.8,0.73,22.5,0.15,10.2,0.82,
LA NAVARRA Pacharan (licor de Endrinas) botella 1 l.,https://www.compraonline.alcampo.es/products/la-navarra-pacharan-licor-de-endrinas-botella-1-l/32595,Pacharán Navarro,,9.79,9.79,1000.0,ml,,,,Alcampo,,,"Destilerías La Navarra, S.A.",199.0,810.0,0.5,0.1,15.0,15.0,0.5,0.03,
