product_name,url,descripcion,country,precio_total,precio_por_cantidad,weight_volume_clean,weight_unit,categorias,alergenos,marcas,tiendas,certificaciones,numero_raciones,nombre_operador,energia_kcal,energia_kj,grasas_totales,grasas_saturadas,carbohidratos,azucares,proteinas,sal,fibra,peso_en_kg,ratio_grasas_saturadas,ratio_azucares,ratio_proteina_carbohidratos,ratio_proteina_grasas,tiene_fibra,alto_contenido_sal,alto_contenido_azucar,alto_contenido_grasas,alto_contenido_grasas_saturadas,tiene_alergenos,tiene_certificaciones,suma_macronutrientes,densidad_calorica,calorias_de_grasas,calorias_de_carbohidratos,calorias_de_proteinas,categoria_calorica,perfil_macronutrientes
producto alcampo tableta de chocolate negro con almendras enteras,https://www.compraonline.alcampo.es/products/producto-alcampo-tableta-de-chocolate-negro-con-almendras-enteras-200-g/898719,chocolate negro con almendras enteras,,2.54,12.7,200.0,g,,,,alcampo,,,alcampo s a,564.0,2346.0,38.0,17.0,41.0,34.0,11.0,0.03,,0.2,0.447,0.829,0.268,0.289,False,False,True,True,True,False,False,90.0,564.0,342.0,164.0,44.0,muy_alto,alto_en_carbohidratos
la gula del norte sucedáneo de angulas la gula del norte pack x,https://www.compraonline.alcampo.es/products/la-gula-del-norte-suced%C3%A1neo-de-angulas-la-gula-del-norte-pack-2-uds-x-210-g/742513,producto de la pesca transformado refrigerado,,7.99,19.02,420.0,g,,,,alcampo,,2.0,angulas aguinaga,163.0,678.0,10.0,1.0,8.2,1.8,9.2,2.2,,0.42,0.1,0.22,1.122,0.92,False,True,False,False,False,False,False,27.4,163.0,90.0,32.8,36.8,medio,alto_en_grasas
auchan leche de vaca entera 1 producto alcampo,https://www.compraonline.alcampo.es/products/auchan-leche-de-vaca-entera-1-5-l-producto-alcampo/216825,leche entera esterilizada,españa,1.54,1.03,1500.0,ml,,,,alcampo,,6.0,alcampo s a,63.0,264.0,3.6,2.5,4.7,4.7,3.0,0.1,,1.5,0.694,1.0,0.638,0.833,False,False,False,False,False,False,False,11.3,63.0,32.4,18.8,12.0,bajo,alto_en_carbohidratos
maggi fusian pasta oriental noodles con sabor a pollo,https://www.compraonline.alcampo.es/products/maggi-fusian-pasta-oriental-noodles-con-sabor-a-pollo-71-g/11762,noodles de trigo con condimento sabor a pollo,ucrania,0.9,12.5,72.0,g,,,,alcampo,,1.0,nestlé españa s a,118.0,497.0,4.4,0.3,16.8,0.7,2.8,0.81,,0.072,0.068,0.042,0.167,0.636,False,False,False,False,False,False,False,24.0,118.0,39.6,67.2,11.2,medio,alto_en_carbohidratos
alcampo gourmet raviolis de pasta fresca al huevo rellenos de queso dop gorogonzola alcampo gourmet,https://www.compraonline.alcampo.es/products/alcampo-gourmet-raviolis-de-pasta-fresca-al-huevo-rellenos-de-queso-dop-gorogonzola-alcampo-gourmet-250-g/425453,pasta alimenticia fresca al huevo rellena de queso gorgonzola dop,italia,2.34,9.36,250.0,g,,,,alcampo,,2.0,alcampo s a dpto de calidad,260.0,1092.0,8.7,3.0,35.0,3.3,8.9,0.71,,0.25,0.345,0.094,0.254,1.023,False,False,False,False,False,False,False,52.6,260.0,78.3,140.0,35.6,medio,alto_en_carbohidratos
de cecco penne rigate,https://www.compraonline.alcampo.es/products/de-cecco-penne-rigate-500-g/784940,penne rigate nº 41,,2.33,4.66,500.0,g,,,,alcampo,,,comercial cbg s a,352.0,1493.0,1.5,0.3,70.2,3.4,13.0,0.01,,0.5,0.2,0.048,0.185,8.667,False,False,False,False,False,False,False,84.7,352.0,13.5,280.8,52.0,alto,alto_en_carbohidratos
cuca atún claro en aceite de oliva pack x,https://www.compraonline.alcampo.es/products/cuca-at%C3%BAn-claro-en-aceite-de-oliva-pack-6-uds-x-48-g/62436,atún claro en aceite de oliva,españa,12.25,42.53,288.0,g,,,,alcampo,,,bolton cile españa s a,377.0,1561.0,33.0,4.7,0.0,0.0,20.0,0.9,,0.288,0.142,,,0.606,False,False,False,True,False,False,False,53.0,377.0,297.0,0.0,80.0,alto,alto_en_grasas
free damm cerveza 0 alcohol con sabor a limón lata de,https://www.compraonline.alcampo.es/products/free-damm-cerveza-0-0-alcohol-con-sabor-a-lim%C3%B3n-lata-de-33-cl/36399,cerveza sin alcohol con sabor a limón,españa,0.7,2.12,330.0,ml,,,,alcampo,,,s a damm,17.0,73.0,0.0,0.0,3.8,1.6,0.1,0.01,,0.33,,0.421,0.026,,False,False,False,False,False,False,False,3.9,17.0,0.0,15.2,0.4,bajo,alto_en_carbohidratos
vici gyozas precocinadas y congeladas rellenas de pollo,https://www.compraonline.alcampo.es/products/vici-gyozas-precocinadas-y-congeladas-rellenas-de-pollo-400-g/748540,gyozas empanadillas japonesas con pollo masa rellena congelada precocinado,,3.29,8.23,400.0,g,,,,alcampo,,,proveedor vg iberia s l u,177.0,746.0,4.8,0.73,22.5,0.15,10.2,0.82,,0.4,0.152,0.007,0.453,2.125,False,False,False,False,False,False,False,37.5,177.0,43.2,90.0,40.8,medio,alto_en_carbohidratos
la navarra pacharan licor de endrinas botella,https://www.compraonline.alcampo.es/products/la-navarra-pacharan-licor-de-endrinas-botella-1-l/32595,pacharán navarro,,9.79,9.79,1000.0,ml,,,,alcampo,,,destilerías la navarra s a,199.0,810.0,0.5,0.1,15.0,15.0,0.5,0.03,,1.0,0.2,1.0,0.033,1.0,False,False,False,False,False,False,False,16.0,199.0,4.5,60.0,2.0,medio,alto_en_carbohidratos
