source,product_name,brand,weight_volume_clean,country,energia_kcal,energia_kj,grasas_totales,grasas_saturadas,carbohidratos,azucares,proteinas,sal,fibra,score_nutricional
alcampo,PRODUCTO ALCAMPO Tableta de chocolate negro con almendras enteras 200 g.,PRODUCTO,200.0,,564.0,2346.0,38.0,17.0,41.0,34.0,11.0,0.03,4.0,0.0
alcampo,LA GULA DEL NORTE Sucedáneo de angulas LA GULA DEL NORTE pack 2 uds. x 210 g.,LA,420.0,,163.0,678.0,10.0,1.0,8.2,1.8,9.2,2.2,4.0,93.0
alcampo,"AUCHAN Leche de vaca entera 1,5 l Producto Alcampo.",AUCHAN,1500.0,"España, España",63.0,264.0,3.6,2.5,4.7,4.7,3.0,0.1,4.0,100.0
alcampo,MAGGI Fusian Pasta oriental (noodles) con sabor a pollo 71 g.,MAGGI,72.0,Ucrania,118.0,497.0,4.4,0.3,16.8,0.7,2.8,0.81,4.0,100.0
alcampo,ALCAMPO GOURMET Raviolis de pasta fresca al huevo rellenos de queso DOP Gorogonzola ALCAMPO GOURMET 250 g.,ALCAMPO,250.0,Italia,260.0,1092.0,8.7,3.0,35.0,3.3,8.9,0.71,4.0,100.0
alcampo,DE CECCO Penne rigate 500 g.,DE,500.0,,352.0,1493.0,1.5,0.3,70.2,3.4,13.0,0.01,4.0,100.0
alcampo,CUCA Atún claro en aceite de oliva pack 6 uds.x 48 g.,CUCA,288.0,España,377.0,1561.0,33.0,4.7,0.0,0.0,20.0,0.9,4.0,89.0
alcampo,"FREE DAMM Cerveza (0,0% alcohol) con sabor a limón lata de 33 cl.",FREE,330.0,España,17.0,73.0,0.0,0.0,3.8,1.6,0.1,0.01,4.0,100.0
alcampo,VICI Gyozas precocinadas y congeladas rellenas de pollo 400 g.,VICI,400.0,,177.0,746.0,4.8,0.73,22.5,0.15,10.2,0.82,4.0,100.0
alcampo,LA NAVARRA Pacharan (licor de Endrinas) botella 1 l.,LA,1000.0,,199.0,810.0,0.5,0.1,15.0,15.0,0.5,0.03,4.0,100.0
alcampo,GUINNESS DRAUGHT  Cerveza negra lata 44 cl.,GUINNESS,440.0,,36.0,152.0,0.0,0.0,3.0,3.0,0.3,0.0,4.0,100.0
alcampo,PRODUCTO ALCAMPO Tortillas de trigo Wraps PRODUCTO ALCAMPO 6 uds 375 g.,PRODUCTO,375.0,"España, España",316.0,1332.0,7.4,1.3,53.0,1.5,8.0,1.1,4.0,100.0
alcampo,"FERRARINI Jamón cocido de categoria extra, elaborado sin fosfatos FERRARINI 100 g.",FERRARINI,100.0,Italia,145.0,609.0,7.0,2.7,0.6,0.6,20.0,1.9,4.0,100.0
alcampo,ITALPIZZA Pizza congelada de jamón cocido sabor ahumado 430 g.,ITALPIZZA,430.0,Italia,200.0,842.0,5.9,2.6,25.0,1.2,11.0,1.2,4.0,100.0
alcampo,"PRODUCTO ALCAMPO Snack de pipas de girasol sin gluten, con aceite de oliva 50 g.",PRODUCTO,50.0,"España, Cadiz",403.0,1704.0,6.2,1.15,84.1,1.2,1.2,2.6,4.0,88.7
alcampo,PRODUCTO ALCAMPO Fusilli tavola italia 500 g,PRODUCTO,500.0,,348.0,1476.0,1.1,0.1,71.0,3.5,12.0,0.01,4.0,100.0
alcampo,ENCANTO Vino blanco verdejo - godello con I.G.P. Vino de la Tierra de Castilla y León botella 75 cl.,ENCANTO,,,75.07,314.11,0.0,0.0,0.4,0.16,0.2,0.01,4.0,100.0
alcampo,AUCHAN Bebida de avena con alto contenido de calcio y vitamina D 6 x 1 l. Producto Alcampo,AUCHAN,6000.0,,46.0,195.0,0.8,0.1,8.3,6.3,1.4,0.07,4.0,100.0
alcampo,LIGERESA Salsa mayonesa frasco 200 + 10 ml.,LIGERESA,210.0,,177.0,732.0,16.0,2.0,7.4,3.0,0.5,1.3,4.0,100.0
alcampo,PRODUCTO ALCAMPO Café soluble natural 100 % Colombia 100 g,PRODUCTO,100.0,"España, España",302.0,1271.0,0.2,0.0,49.0,3.0,15.0,0.53,4.0,100.0
alcampo,"ILLY Café en cápsulas espresso Intenso  I7, 10 uds.",ILLY,57.0,Italia,4.0,16.0,0.06,0.02,0.5,0.01,0.2,0.2,4.0,100.0
alcampo,ILLY Café molido Espresso de tueste medio 250 g.,ILLY,250.0,Italia,4.0,16.0,0.06,0.02,0.5,0.01,0.2,0.2,4.0,100.0
alcampo,MONSTER Ultra watermelon energy Bebida energética sin azúcar con sabor a sandía lata de 500ml,MONSTER,5000.0,,3.0,11.0,0.0,0.0,1.3,0.0,0.0,0.1,4.0,100.0
alcampo,ACTIMEL Kids de Danone Leche fermentada con Lcasei y sabor natural 6 x 100 g.,ACTIMEL,600.0,Bélgica,46.0,192.0,1.6,1.0,4.2,4.2,3.7,0.12,4.0,100.0
